"SMILES","CASRN","MOLECULEID","EXTERNALID","N","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","logPow {measured}","UNIT {logPow}","logPow {measured, converted}","UNIT {logPow}","pH","UNIT {pH}"
"N#CC1=NC(=NC(=N1)N(C1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1","-","M1019440","ZINC00110879","25","-","-","A27772","23131797","-","2","5.38","Log unit","5.38","Log unit","= 6.5","Log unit"
"N#CCC1=NC(=CS1)C1=CC2=C(OCCCO2)C=C1","-","M1019449","ZINC00113902","26","-","-","A27772","23131797","-","2","2.68","Log unit","2.68","Log unit","5.0","Log unit"
"CN(C)C(=O)[C@H]1OC(C)(C)O[C@@H]1C(=O)N(C)C","-","M1019458","ZINC00115984","27","-","-","A27772","23131797","-","2","1.49","Log unit","1.49","Log unit","5.0","Log unit"
"COC(=O)[C@H]1OC(O[C@H]1C(=O)OC)C1=CC=CC=C1","-","M3410221","ZINC14720659","28","-","-","A27772","23131797","-","2","2.49","Log unit","2.49","Log unit","5.0","Log unit"
"CCN(CC)C1=CC=C(C=C2C(=O)C3=CC=CC=C3C2=O)C(OC)=C1","-","M1019484","ZINC00121503","29","-","-","A27772","23131797","-","2","5.05","Log unit","5.05","Log unit","= 10.5","Log unit"
"CC(C)(C)S(=O)(=O)C(=C\NC1=CC=C(OC(F)(F)F)C=C1)\C#N","-","M3410222","ZINC00125686","30","-","-","A27772","23131797","-","2","4.28","Log unit","4.28","Log unit","= 6.5","Log unit"
"CCC[C@@H]1C(=O)C[C@H](C(C)C)C(C#N)(C#N)C1(C#N)C#N","-","M1019526","ZINC00127640","31","-","-","A27772","23131797","-","2","3.3","Log unit","3.3","Log unit","5.0","Log unit"
"CC1=C(C=CC=C1OCC1=CC=CC=C1)[N+]([O-])=O","-","M1154176","ZINC00132954","32","-","-","A27772","23131797","-","2","4.41","Log unit","4.41","Log unit","5.0","Log unit"
"CC12CCCC(CCC1)(C2)C(N)=O","-","M1154174","ZINC00136299","34","-","-","A27772","23131797","-","2","2.73","Log unit","2.73","Log unit","5.0","Log unit"
"CN1C(CC#N)=NN=C1SCC1=C(C)C(C)=C(C)C(C)=C1C","-","M1019573","ZINC00137750","35","-","-","A27772","23131797","-","2","4.14","Log unit","4.14","Log unit","= 6.5","Log unit"
"CCOC1=NC(=NC(=N1)N1CCOCC1)C#N","-","M1019581","ZINC00141449","36","-","-","A27772","23131797","-","2","2.46","Log unit","2.46","Log unit","5.0","Log unit"
"CC1=CC(C)=C([C@H]2[C@@H]3CCCC=C3C(C#N)=C(N)C2(C#N)C#N)C(C)=C1","-","M1019594","ZINC00143627","37","-","-","A27772","23131797","-","2","5.48","Log unit","5.48","Log unit","5.0","Log unit"
"O=C1[C@@H]2[C@H]3[C@H]4[C@@H]2C2(OCCO2)[C@@H]2[C@H]4C[C@H]3[C@H]12","-","M1019558","ZINC00149819","38","-","-","A27772","23131797","-","2","0.51","Log unit","0.51","Log unit","= 2.0","Log unit"
"FC1=CC=C(C=C1)C(=O)C1CC1","-","M67715","ZINC00155649","39","-","-","A27772","23131797","-","2","2.61","Log unit","2.61","Log unit","5.0","Log unit"
"C[C@]1(OC[C@@H](CN2C=NC=N2)O1)C1=CC=C(Cl)C=C1Cl","-","M1019663","ZINC00161457","40","-","-","A27772","23131797","-","2","3.68","Log unit","3.68","Log unit","10.0","Log unit"
"NC1=NC2=NC3=C(SC(N)=N3)C=C2S1","-","M1019664","ZINC00161621","41","-","-","A27772","23131797","-","2","1.56","Log unit","1.56","Log unit","10.0","Log unit"
"CC1(C)[C@@H](CC[C@]1(C)C(=O)N1CCOCC1)C(=O)N1CCOCC1","-","M1019666","ZINC00162659","42","-","-","A27772","23131797","-","2","2.46","Log unit","2.46","Log unit","5.0","Log unit"
"CC1=NC(=CS1)C1=CC=C(Cl)C=C1","-","M1019241","ZINC00076749","43","-","-","A27772","23131797","-","2","3.65","Log unit","3.65","Log unit","= 7.3","Log unit"
"CN(C)\C=C\C(=O)C1=CC=C(C=C1)C#CC1=CC=CC=C1","-","M721879","ZINC00170706","44","-","-","A27772","23131797","-","2","4.69","Log unit","4.69","Log unit","= 10.5","Log unit"
"CCCN1C(=O)N(C=C(Br)C1=O)C1=CC=CC=C1C","-","M1019686","ZINC00171218","45","-","-","A27772","23131797","-","2","2.82","Log unit","2.82","Log unit","5.0","Log unit"
"COC(=O)COC1=C(C)C=C2C(OC=C(C3=CSC(C)=N3)C2=O)=C1","-","M1019746","ZINC00190551","46","-","-","A27772","23131797","-","2","3.9","Log unit","3.9","Log unit","= 10.5","Log unit"
"CC1=CC=C2C(C)=NC(NC3=NC4=C(CCCC4)C(=O)N3)=NC2=C1","-","M1019787","ZINC18324649","48","-","-","A27772","23131797","-","2","3.92","Log unit","3.92","Log unit","10.0","Log unit"
"CCCCOC1=CC=C(\C=C\C(=O)NC(C)C)C=C1","-","M1153718","ZINC01779942","49","-","-","A27772","23131797","-","2","4.45","Log unit","4.45","Log unit","5.0","Log unit"
"CCN(CC)S(=O)(=O)N1CCC[C@@H](C1)C(=O)NC1CCCCC1","-","M1019818","ZINC00218005","50","-","-","A27772","23131797","-","2","3.58","Log unit","3.58","Log unit","5.0","Log unit"
"CC(C)=CCCC1=NN(C=O)[C@@](C)(CCC=C(C)C)C1","-","M1153470","ZINC00238588","51","-","-","A27772","23131797","-","2","5.02","Log unit","5.02","Log unit","= 10.5","Log unit"
"CC(NS(C)(=O)=O)C1=CC=CC=C1","-","M952800","ZINC00258632","52","-","-","A27772","23131797","-","2","1.8","Log unit","1.8","Log unit","5.0","Log unit"
"CC[C@]1(C)NC(=S)N2N1C(=S)N[C@@]2(C)CC","-","M1019901","ZINC00263595","53","-","-","A27772","23131797","-","2","2.44","Log unit","2.44","Log unit","5.0","Log unit"
"CCCC1=C2[C@H](C3=C(C)SC=C3)C(C#N)=C(N)OC2=NN1","-","M1019903","ZINC00264105","54","-","-","A27772","23131797","-","2","3.83","Log unit","3.83","Log unit","= 10.5","Log unit"
"CC(C)(C)C(=O)NC1=CC=C(NC(=O)C(C)(C)C)C=C1","-","M1019943","ZINC00282116","56","-","-","A27772","23131797","-","2","2.79","Log unit","2.79","Log unit","5.0","Log unit"
"COC(=O)N[C@H](O)C(=O)C1=CC=CC=C1","-","M1019858","ZINC00242887","57","-","-","A27772","23131797","-","2","1.41","Log unit","1.41","Log unit","5.0","Log unit"
"COC1=CC=C(C=C1OC)C1=NN=C(N)S1","-","M1020021","ZINC00322785","58","-","-","A27772","23131797","-","2","2.34","Log unit","2.34","Log unit","= 6.5","Log unit"
"N#CCC1=NC(=CS1)C1=CC2=C(OCCO2)C=C1","-","M748950","ZINC00128400","59","-","-","A27772","23131797","-","2","2.92","Log unit","2.92","Log unit","5.0","Log unit"
"O=C(CSC1=NC2=CC=CC=C2S1)C1=CC=CS1","-","M1020258","ZINC00446349","61","-","-","A27772","23131797","-","2","4.04","Log unit","4.04","Log unit","5.0","Log unit"
"CC(C)[C@H]1O[C@H]2CCCC[C@H]2C2=CCCC[C@@H]12","-","M1021864","ZINC01233750","62","-","-","A27772","23131797","-","2","5.87","Log unit","5.87","Log unit","5.0","Log unit"
"NC1=CC=CC=C1NC1=CC=CC=C1","-","M21380","ZINC00058285","63","-","-","A27772","23131797","-","2","2.67","Log unit","2.67","Log unit","10.0","Log unit"
"CC(=O)C1=CC2=C(O1)C=CC=C2","-","M25536","ZINC00102698","64","-","-","A27772","23131797","-","2","2.15","Log unit","2.15","Log unit","5.0","Log unit"
"FC(F)(F)S(=O)C1=C(C=CC=C1)N1C(=O)C2=CC=CC=C2C1=O","-","M767147","ZINC00344692","65","-","-","A27772","23131797","-","2","3.3","Log unit","3.3","Log unit","5.0","Log unit"
"CC1(C)OC(=O)C(=CC2=CC=C(S2)[N+]([O-])=O)C(=O)O1","-","M1154109","ZINC00346783","67","-","-","A27772","23131797","-","2","3.04","Log unit","3.04","Log unit","5.0","Log unit"
"CCN(CC)C(=O)[C@@]12CC[C@@](C)(C(=O)O1)C2(C)C","-","M1020066","ZINC00350715","68","-","-","A27772","23131797","-","2","2.66","Log unit","2.66","Log unit","5.0","Log unit"
"CC(=O)\N=C1\SC2=C(N=C3C=CC=CC3=N2)N1N(C(C)=O)C(C)=O","-","M3410224","ZINC00365332","69","-","-","A27772","23131797","-","2","1.1","Log unit","1.1","Log unit","10.0","Log unit"
"ClC1=CC=C(\C=N\NC2=CN3C(NN2)=NC2=CC=CC=C32)C=C1","-","M1020100","ZINC00366877","70","-","-","A27772","23131797","-","2","4.81","Log unit","4.81","Log unit","= 10.5","Log unit"
"COC1=CC=C2C(C)=C(C)C(=O)OC2=C1C","-","M1018997","ZINC00036407","71","-","-","A27772","23131797","-","2","3.45","Log unit","3.45","Log unit","5.0","Log unit"
"CN1C2=CC=CC=C2N2C3=NC(C#N)=C(N=C3C(C#N)=C12)C#N","-","M1019472","ZINC00118751","72","-","-","A27772","23131797","-","2","3.61","Log unit","3.61","Log unit","5.0","Log unit"
"CC(C)OC(=O)C1=CC=C2NC3=C(CCCC3)C2=C1","-","M1024203","ZINC03645064","73","-","-","A27772","23131797","-","2","4.97","Log unit","4.97","Log unit","5.0","Log unit"
"COC1=CC=C(C=C1)[C@@H]1CCCC[C@H]1O","-","M1020165","ZINC00393738","75","-","-","A27772","23131797","-","2","2.85","Log unit","2.85","Log unit","5.0","Log unit"
"CC(C)NC(=O)NC1=C(C)C(C)=CC=C1","-","M1020177","ZINC00396628","77","-","-","A27772","23131797","-","2","2.7","Log unit","2.7","Log unit","5.0","Log unit"
"O[C@@]12CCCC[C@@H]1CCC(=O)O2","-","M1020404","ZINC00506197","78","-","-","A27772","23131797","-","2","1.16","Log unit","1.16","Log unit","5.0","Log unit"
"CC(C)OC1=CC=C2C(C)=CC(=O)OC2=C1","-","M1020289","ZINC00459287","80","-","-","A27772","23131797","-","2","3.33","Log unit","3.33","Log unit","5.0","Log unit"
"C[C@H](OC1=CC=C(Cl)C=C1C)C(=O)NC1CCCCCC1","-","M1020347","ZINC00476297","81","-","-","A27772","23131797","-","2","5.45","Log unit","5.45","Log unit","5.0","Log unit"
"ClC1=CC=C(CSC2=NC=CC=N2)C=C1Cl","-","M1020535","ZINC00617161","83","-","-","A27772","23131797","-","2","4.33","Log unit","4.33","Log unit","5.0","Log unit"
"CC1(C)C[C@](C)(O)[P@](C)(=O)O1","-","M1020039","ZINC00331935","84","-","-","A27772","23131797","-","2","0.71","Log unit","0.71","Log unit","5.0","Log unit"
"CC(C)(C)NC(=S)NC1=CC=C(F)C=C1","-","M1020385","ZINC00493350","86","-","-","A27772","23131797","-","2","2.71","Log unit","2.71","Log unit","5.0","Log unit"
"CC1CC(C)=CC(C)C1(CO)CO","-","M3410226","ZINC03881371","87","-","-","A27772","23131797","-","2","2.93","Log unit","2.93","Log unit","5.0","Log unit"
"CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)C21CCC2(CC1)OCCO2","-","M1020433","ZINC00522903","89","-","-","A27772","23131797","-","2","3.24","Log unit","3.24","Log unit","10.0","Log unit"
"CCN1C(SCC2=CC=CC=C2F)=NC2=C(C(C)=C(C)S2)C1=O","-","M1020445","ZINC00529503","90","-","-","A27772","23131797","-","2","5.86","Log unit","5.86","Log unit","= 10.5","Log unit"
"CC1=NN(CCOC(=O)[C@H]2[C@H](C=C(Cl)Cl)C2(C)C)C(C)=C1","-","M1020451","ZINC00535984","91","-","-","A27772","23131797","-","2","4.76","Log unit","4.76","Log unit","= 10.5","Log unit"
"NC1=C(C#N)[C@H]([C@@H]2C(O1)=NN=C2C1=CC=CS1)C1CCCCC1","-","M3410227","ZINC00549477","93","-","-","A27772","23131797","-","2","4.64","Log unit","4.64","Log unit","= 10.5","Log unit"
"CC1CN(CC(C)O1)C1=C(C=C(C#N)C#N)C(=O)N2C=CC=CC2=N1","-","M1154059","ZINC00551538","94","-","-","A27772","23131797","-","2","3.24","Log unit","3.24","Log unit","10.0","Log unit"
"CCN1C(SCC(=O)NC(C)(C)C)=NN=C1C1CCCCC1","-","M1020482","ZINC00560825","95","-","-","A27772","23131797","-","2","3.2","Log unit","3.2","Log unit","10.0","Log unit"
"COC1=CC=C(CNC(=O)C2CCCC2)C=C1","-","M1020111","ZINC00375384","96","-","-","A27772","23131797","-","2","2.6","Log unit","2.6","Log unit","5.0","Log unit"
"COC1=CC(=CC(OC)=C1OC)C(=O)NC1=CC=CC=C1C(C)(C)C","-","M1020531","ZINC00614168","98","-","-","A27772","23131797","-","2","3.61","Log unit","3.61","Log unit","5.0","Log unit"
"O=C(CS(=O)(=O)CC1=CC=CC=C1)NC1=CC=C2OCCOC2=C1","-","M1020537","ZINC00620045","99","-","-","A27772","23131797","-","2","3.19","Log unit","3.19","Log unit","5.0","Log unit"
"CCCC(=O)N1CC2(C)CN(CC(C)(C1)C2)C(=O)CCC","-","M1109681","ZINC00620166","100","-","-","A27772","23131797","-","2","2.69","Log unit","2.69","Log unit","5.0","Log unit"
"COC1=CC(=CC(=C1)C(=O)C1=CC=C(F)C=C1)C(=O)C1=CC=C(F)C=C1","-","M1020544","ZINC00622415","102","-","-","A27772","23131797","-","2","4.89","Log unit","4.89","Log unit","5.0","Log unit"
"CC1=CC=NC(=C1)N(C(=O)C1=CC2=C(CCCC2)S1)C(=O)C1=CC2=C(CCCC2)S1","-","M1020554","ZINC00624202","104","-","-","A27772","23131797","-","2","5.76","Log unit","5.76","Log unit","= 7.3","Log unit"
"CCC1=CC(=O)OC2=C(C)C(OCC(=O)OC(C)(C)C)=CC=C12","-","M1020280","ZINC00454920","105","-","-","A27772","23131797","-","2","4.52","Log unit","4.52","Log unit","5.0","Log unit"
"CCN1C(=O)C2=CC=CC3=C(C=CC1=C23)S(=O)(=O)N(C(=O)C1=CC=CN=C1)C1=CC=C(OC)C=C1","-","M1020576","ZINC00628553","106","-","-","A27772","23131797","-","2","4.74","Log unit","4.74","Log unit","= 7.3","Log unit"
"CCC1=CC=C(C=C1)N1N=NN=C1SCC(=O)NC1=CC=C(C=C1)C(C)=O","-","M1020947","ZINC00790489","107","-","-","A27772","23131797","-","2","4.69","Log unit","4.69","Log unit","5.0","Log unit"
"CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)OC1=CC=C2C(OC=C(C2=O)C2=CC=C(F)C=C2)=C1","-","M1020592","ZINC00630275","108","-","-","A27772","23131797","-","2","5.77","Log unit","5.77","Log unit","5.0","Log unit"
"CC1=CC2=C(NC3=C([C@@H](N2)C2=CC4=C(OCO4)C=C2Cl)C(=O)CC(C)(C)C3)C=C1C","-","M1020594","ZINC00630883","109","-","-","A27772","23131797","-","2","4.38","Log unit","4.38","Log unit","= 6.5","Log unit"
"CCOC(=O)C1=NN[C@@]2([C@@H]1C(=O)N(C2=O)C1=CC=CC(=C1)C(F)(F)F)C1=CC=CC(=C1)[N+]([O-])=O","-","M3410228","ZINC00634239","110","-","-","A27772","23131797","-","2","4.73","Log unit","4.73","Log unit","10.0","Log unit"
"CCOC(=O)C1=C(SC(C)=C1C)N1C(=O)[C@@H]2CC(C)=C(C)C[C@H]2C1=O","-","M3410229","ZINC18068175","111","-","-","A27772","23131797","-","2","4.56","Log unit","4.56","Log unit","5.0","Log unit"
"CCN1C(=O)\C(=C2/SC(=S)N(CC3=CC=C(OC)C=C3)C2=O)C2=CC(Br)=CC=C12","-","M1022817","ZINC02695638","112","-","-","A27772","23131797","-","2","6.96","Log unit","6.96","Log unit","5.0","Log unit"
"CCOC1=CC(=CC(OCC)=C1OCC)C(=O)OC1=CC=C2C(C)=CC(=O)OC2=C1","-","M1020614","ZINC00645444","114","-","-","A27772","23131797","-","2","6.15","Log unit","6.15","Log unit","5.0","Log unit"
"CCOC(=O)N1CCN(CC1)C1=NC(=NC2=C(C)C=C(C)C=C12)C(F)(F)F","-","M1020618","ZINC00646685","115","-","-","A27772","23131797","-","2","5.92","Log unit","5.92","Log unit","= 10.5","Log unit"
"COC1=CC=C(C=C1OC)[C@H]1C[C@@H](N2N=CC(C(=O)N(C)CC3=C(C)N(C)N=C3)=C2N1)C(F)(F)F","-","M1020621","ZINC00647320","116","-","-","A27772","23131797","-","2","4.25","Log unit","4.25","Log unit","= 7.3","Log unit"
"CC1=CC=C(C(C)=C1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)C1=CC=C(C)C=C1C","-","M1020625","ZINC00647734","117","-","-","A27772","23131797","-","2","5.01","Log unit","5.01","Log unit","5.0","Log unit"
"COC1=CC=CC(=C1)C1=CC=C2C(N)=C(SC2=N1)C(=O)NC1=CC=C(F)C(F)=C1","-","M1020653","ZINC00661253","119","-","-","A27772","23131797","-","2","5.86","Log unit","5.86","Log unit","= 7.3","Log unit"
"CCOC(=O)C1=C(NC(=O)[C@@H]2C[C@H]3CC[C@@H]2C3)SC(C(=O)N(CC)CC)=C1C","-","M1020667","ZINC00669528","120","-","-","A27772","23131797","-","2","5.05","Log unit","5.05","Log unit","5.0","Log unit"
"FC1=CC=C(CNC(=O)C2=NN3[C@@H](C[C@H](NC3=C2Br)C2=CC=CS2)C(F)(F)F)C=C1","-","M1020677","ZINC00673873","121","-","-","A27772","23131797","-","2","5.54","Log unit","5.54","Log unit","5.0","Log unit"
"CCOC(=O)C1=C(SC=C1CC(C)C)\N=C\C1=C(O)N(N=C1C)C1=CC=CC=C1","-","M3410231","ZINC18276282","124","-","-","A27772","23131797","-","2","5.16","Log unit","5.16","Log unit","10.0","Log unit"
"ClC1=CC(=CC=C1)C(=O)NC1=CC(NC(=O)\C=C\C2=CC=CC=C2)=CC=C1","-","M1153820","ZINC01092707","125","-","-","A27772","23131797","-","2","5.53","Log unit","5.53","Log unit","5.0","Log unit"
"FC(F)(F)[C@@H]1C[C@H](NC2=CC(=NN12)C(=O)NC1=CC=CC(Cl)=C1)C1=CC=CC=C1","-","M1020678","ZINC00673948","126","-","-","A27772","23131797","-","2","5.92","Log unit","5.92","Log unit","5.0","Log unit"
"CC1=CC=C(C=C1)N(CCOC(=O)C1=CC=C(C=C1)S(=O)(=O)N1CCCCC1)C1=NS(=O)(=O)C2=C1C=CC=C2","-","M1020708","ZINC00681990","127","-","-","A27772","23131797","-","2","5.58","Log unit","5.58","Log unit","5.0","Log unit"
"CCOC(=O)CN1C(=O)[C@@H](OC(=O)C2=CC=CC=C2)[C@@H](OC(=O)C2=CC=CC=C2)C1=O","-","M3410232","ZINC18178970","128","-","-","A27772","23131797","-","2","5.0","Log unit","5.0","Log unit","5.0","Log unit"
"NC1=C(C#N)[C@H](C2=CC=CC=C2F)C2=C(C[C@H](CC2=O)C2=CC=CC=C2)O1","-","M1020761","ZINC00706102","131","-","-","A27772","23131797","-","2","3.07","Log unit","3.07","Log unit","10.0","Log unit"
"CC1=CC=C(NCC2=CC=C3N2CC\C3=C2\CN3C(CNC4=CC=C(C)C=C4)=CC=C3C2=O)C=C1","-","M3410233","ZINC13161772","132","-","-","A27772","23131797","-","2","6.51","Log unit","6.51","Log unit","= 10.5","Log unit"
"COC(=O)C1=CC(NC(=O)C2=CC(=CC(=C2)C(=O)NC2=CC(=CC=C2)C(=O)OC)N2C(=O)C3=CC=CC=C3C2=O)=CC=C1","-","M1020731","ZINC00692692","133","-","-","A27772","23131797","-","2","6.09","Log unit","6.09","Log unit","= 6.5","Log unit"
"COC1=CC=C(OCC(=O)N2CCN(CC2)C(=O)C2=CC=CO2)C=C1","-","M1019780","ZINC00199168","138","-","-","A27772","23131797","-","2","2.76","Log unit","2.76","Log unit","5.0","Log unit"
"CC(=O)OC1=CC(=CC(OC(C)=O)=C1OC(C)=O)C(=O)NC1=CC=C(OC2=CC=CC=C2)C=C1","-","M1020745","ZINC00701894","142","-","-","A27772","23131797","-","2","2.89","Log unit","2.89","Log unit","= 10.5","Log unit"
"COC1=CC=C(OC2=C(OC3=CC(OC(=O)N4CCOCC4)=CC=C3C2=O)C(F)(F)F)C=C1","-","M1020750","ZINC00703833","143","-","-","A27772","23131797","-","2","4.63","Log unit","4.63","Log unit","5.0","Log unit"
"O=C(CSC1=NC2=C(N=N1)C1=C(C=CC=C1)N2CC1=CC=CC=C1)OCN1C(=O)C2=CC=CC=C2C1=O","-","M1020768","ZINC00706600","144","-","-","A27772","23131797","-","2","4.51","Log unit","4.51","Log unit","= 6.5","Log unit"
"O=C1C[C@H]([C@@H]2CO[C@H]1O2)N1N=C(N(C1=S)C1=CC=CC=C1)C1=CC=CC=C1","-","M1020780","ZINC00708194","145","-","-","A27772","23131797","-","2","3.65","Log unit","3.65","Log unit","= 7.3","Log unit"
"CC(=O)NC1=CC=C(C=C1)C(=O)N(CC1=CC=CO1)C1(CCCCC1)C(=O)NC1=C(C)C=CC=C1C","-","M1020783","ZINC00709053","146","-","-","A27772","23131797","-","2","4.62","Log unit","4.62","Log unit","5.0","Log unit"
"COC1=CC=CC=C1N(CCOC(=O)[C@H]1CN(C(=O)C1)C1=CC=CC=C1)C1=NS(=O)(=O)C2=C1C=CC=C2","-","M1020790","ZINC00709808","147","-","-","A27772","23131797","-","2","2.5","Log unit","2.5","Log unit","= 6.5","Log unit"
"O=C(CSC1=NN=C(N1C1=CC=CC=C1)C1=CC=CC=C1)N1CCN(CC1)C(=O)C1=CC=CC=C1","-","M1020792","ZINC00709971","148","-","-","A27772","23131797","-","2","4.64","Log unit","4.64","Log unit","= 10.5","Log unit"
"FC1=CC=C(C=C1)\N=C1/S[C@H](CC(=O)N1CC1=CC=CC=C1)C(=O)NC1=CC=CC=C1","-","M3410234","ZINC12376491","149","-","-","A27772","23131797","-","2","6.0","Log unit","6.0","Log unit","= 7.3","Log unit"
"CCCS(=O)(=O)C1=C2C=NC=CN2C(C(=O)C2=CC=C(C)C=C2)=C1S(=O)(=O)CCC","-","M1020823","ZINC00716244","150","-","-","A27772","23131797","-","2","3.93","Log unit","3.93","Log unit","5.0","Log unit"
"FC1=CC=CC=C1COC1=CC=C(C=C1)C1C2=C(CCCC2=O)OC2=C1C(=O)CCC2","-","M1020839","ZINC00718346","151","-","-","A27772","23131797","-","2","4.92","Log unit","4.92","Log unit","5.0","Log unit"
"CCOC1=CC=C(C2=NN=C3OC(N)=C(C#N)[C@H]([C@H]23)C2=CC=CO2)C(OCC)=C1","-","M3410235","ZINC05130489","152","-","-","A27772","23131797","-","2","4.48","Log unit","4.48","Log unit","= 10.5","Log unit"
"CC1(C)CC(=O)C2=C(C1)N(C(N)=C(C#N)[C@@H]2C1=CC=CC(Cl)=C1)C1=C(F)C=CC=C1F","-","M1020849","ZINC00719771","153","-","-","A27772","23131797","-","2","5.04","Log unit","5.04","Log unit","5.0","Log unit"
"COC(=O)C1=C2N=C(C=C(N2N=C1)C(F)(F)F)C1=CC(OC)=C(OC)C(OC)=C1","-","M1020855","ZINC00721075","154","-","-","A27772","23131797","-","2","4.08","Log unit","4.08","Log unit","5.0","Log unit"
"CC1=CC(C(C#N)=C(N)N1C1=CC=C(C=C1)C(N)=O)(C(F)(F)F)C(F)(F)F","-","M1020856","ZINC00721263","155","-","-","A27772","23131797","-","2","4.41","Log unit","4.41","Log unit","5.0","Log unit"
